"genero","region","comuna","edad","nes","esc","esperanza","necesario","eval.acuerdo","mejor.pais","org.pol","org.econ","pos.politico","realidad","nueva.const","mecanismo"
"Hombre","RM","Colina",20,2,14,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",5,7,5,4,"Aprueba","CC"
"Hombre","RM","Santiago ",34,5,19,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",4,10,3,7,"Aprueba","CC"
"Mujer","Maule","Cauquenes ",18,3,12,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",5,10,1,9,"Aprueba","CC"
"Mujer","RM","Quinta normal",28,4,18,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",1,10,1,1,"Aprueba","CC"
"Hombre","Valparaiso","Viña del mar",21,4,15,"Neutral","Muy de acuerdo","Neutral","De acuerdo",3,8,2,6,"Aprueba","CC"
"Hombre","Valparaiso","Valparaíso",33,3,19,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",6,6,3,7,"Aprueba","CC"
"Hombre","RM","quinta normal",33,2,16,"Neutral","De acuerdo","Muy en desacuerdo","Neutral",1,9,1,1,"No votara","No votara"
"Hombre","Maule","Linares",21,3,16,"Muy de acuerdo","Muy de acuerdo","De acuerdo","De acuerdo",3,9,3,3,"Aprueba","CC"
"Hombre","RM","San Joaquín",26,4,18,"En desacuerdo","De acuerdo","En desacuerdo","De acuerdo",3,8,1,4,"Aprueba","CC"
"Hombre","Biobio","Concepción",34,3,19,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",3,8,3,5,"Aprueba","CC"
"Hombre","RM","Huechuraba",24,4,18,"De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",7,7,3,7,"Aprueba","CC"
"Hombre","RM","Quinta Normal ",17,2,12,"De acuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo",3,7,1,3,"Aprueba","CC"
"Hombre","RM","Puente Alto",20,3,15,"De acuerdo","En desacuerdo","De acuerdo","De acuerdo",9,7,2,6,"Aprueba","CC"
"Hombre","Arica y Parinacota","Arica",26,3,14,"En desacuerdo","En desacuerdo","Muy en desacuerdo","En desacuerdo",5,6,3,4,"Rechaza","CC"
"Mujer","RM","Recoleta ",26,2,16,"De acuerdo","Muy de acuerdo","Neutral","Neutral",1,5,5,1,"Aprueba","CM"
"Hombre","RM","Lo Espejo",35,3,18,"Neutral","Muy de acuerdo","En desacuerdo","De acuerdo",3,8,2,4,"Aprueba","CC"
"Hombre","RM","Las Condes",29,3,19,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",4,5,4,9,"Aprueba","CC"
"Hombre","RM","ñuñoa",22,4,16,"De acuerdo","De acuerdo","En desacuerdo","De acuerdo",4,6,3,4,"Aprueba","CC"
"Hombre","RM","Santiago",24,4,18,"Neutral","De acuerdo","Neutral","Neutral",4,4,5,3,"Aprueba","CC"
"Hombre","RM","Lo Prado",23,2,17,"De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo",4,8,3,5,"Aprueba","CC"
"Mujer","Biobio","Chiguayante ",31,2,18,"Neutral","Muy de acuerdo","Muy en desacuerdo","Neutral",1,8,3,5,"Aprueba","CC"
"Hombre","RM","Estación central",20,2,15,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",3,10,1,10,"Aprueba","CC"
"Hombre","Araucania","Temuco",26,3,21,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",3,9,3,8,"Aprueba","CC"
"Hombre","Antofagasta","Antofagasta ",28,3,18,"De acuerdo","De acuerdo","Neutral","De acuerdo",3,4,3,6,"Aprueba","CC"
"Hombre","RM","Independencia",28,2,17,"En desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",5,8,3,3,"Aprueba","CC"
"Hombre","Valparaiso","Los Andes",26,4,20,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",3,8,3,5,"Aprueba","CC"
"Hombre","RM","Macul",25,4,17,"Neutral","Muy de acuerdo","Muy en desacuerdo","De acuerdo",4,6,3,5,"Aprueba","CC"
"Hombre","Valparaiso","San Antonio ",16,3,11,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",7,10,2,2,"Aprueba","CC"
"Hombre","RM","Santiago Centro",21,2,13,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy en desacuerdo",1,7,1,3,"Aprueba","CC"
"Mujer","Biobio","Concepción",26,1,17,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",6,9,3,6,"Aprueba","CC"
"Mujer","RM","Ñuñoa",36,4,24,"Neutral","De acuerdo","En desacuerdo","Neutral",6,5,3,1,"Aprueba","CC"
"Hombre","Biobio","Concepción",2722,1,22,"De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo",4,8,2,5,"Aprueba","CC"
"Hombre","RM","Macul",23,2,15,"Neutral","Muy de acuerdo","Neutral","De acuerdo",6,10,2,7,"Aprueba","CC"
"Hombre","RM","Cerrillos",22,3,14,"De acuerdo","De acuerdo","Neutral","De acuerdo",4,5,4,4,"Aprueba","CC"
"Hombre","Antofagasta","Calama",21,3,15,"De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo",6,5,3,3,"Aprueba","CC"
"Hombre","RM","La Reina",23,4,17,"De acuerdo","De acuerdo","En desacuerdo","De acuerdo",3,8,2,5,"Aprueba","CC"
"Hombre","RM","santiago centro",25,4,19,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,8,4,2,"Aprueba","Nulo o Blanco"
"Hombre","RM","Quilicura",28,2,19,"En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",1,9,2,10,"Aprueba","CC"
"Mujer","RM","Estación Central ",24,4,17,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",6,7,3,4,"Aprueba","CC"
"Hombre","RM","Maipu",19,2,13,"En desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",4,8,3,7,"Aprueba","CC"
"Hombre","RM","Peñalolen",27,4,18,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",1,10,2,9,"Aprueba","CC"
"Hombre","Biobio","Chiguayante ",25,5,19,"En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo",4,2,8,4,"Rechaza","CM"
"Hombre","RM","San Bernardo",30,2,15,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",7,5,5,10,"Aprueba","CC"
"Hombre","RM","la Florida",31,2,14,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",7,5,6,10,"Aprueba","CC"
"Hombre","RM","La granja",25,2,12,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",9,9,8,5,"Aprueba","CC"
"Hombre","Biobio","Concepcion",28,3,18,"De acuerdo","De acuerdo","En desacuerdo","De acuerdo",5,8,3,5,"Aprueba","CC"
"Mujer","Los Lagos","Puerto varas",28,2,20,"En desacuerdo","De acuerdo","En desacuerdo","De acuerdo",2,9,2,2,"Aprueba","CC"
"Hombre","Ohiggins","Graneros",23,2,17,"Neutral","De acuerdo","Muy en desacuerdo","Neutral",1,4,1,4,"Aprueba","CC"
"Hombre","RM","Puente Alto",20,2,14,"Muy en desacuerdo","Neutral","Muy en desacuerdo","Muy en desacuerdo",1,5,1,4,"No votara","CC"
"Hombre","RM","Conchali",21,3,16,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",4,6,4,6,"Aprueba","CC"
"Hombre","RM","Pudahuel Sur",23,2,19,"Neutral","De acuerdo","En desacuerdo","De acuerdo",1,5,2,5,"Aprueba","CC"
"Mujer","RM","Ñuñoa",23,2,16,"Neutral","Muy de acuerdo","Neutral","Muy de acuerdo",1,9,1,5,"Aprueba","CC"
"Hombre","RM","San Joaquín ",21,3,15,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,10,1,1,"Aprueba","CC"
"Trans/No binario","RM","La florida",23,2,16,"De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo",3,9,3,4,"Aprueba","CC"
"Hombre","RM","Pudahuel ",22,4,16,"De acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,7,1,3,"Aprueba","CC"
"Hombre","RM","San Bernardo",38,2,18,"De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo",4,8,3,4,"Aprueba","CC"
"Hombre","RM","Estacion central",30,3,18,"En desacuerdo","En desacuerdo","Muy en desacuerdo","En desacuerdo",10,2,9,10,"Rechaza","CM"
"Hombre","Ohiggins","Rancagua",26,4,19,"Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",10,10,1,10,"Aprueba","CC"
"Hombre","RM","San Bernardo",24,2,15,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",8,8,3,4,"Aprueba","CC"
"Hombre","RM","Maipú",21,3,14,"Neutral","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo",9,8,2,5,"Aprueba","CC"
"Hombre","Valparaiso","Valparaíso ",29,2,19,"De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo",4,5,3,3,"Aprueba","CC"
"Hombre","Valparaiso","Concón",21,3,15,"Muy en desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",1,7,4,5,"Aprueba","CC"
"Hombre","Valparaiso","Viña del mar",29,3,19,"Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo",1,10,1,1,"Aprueba","CC"
"Hombre","RM","Huechuraba",29,2,15,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",5,8,3,5,"Aprueba","CC"
"Hombre","RM","Ñuñoa ",31,3,20,"De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo",3,8,3,3,"Aprueba","CC"
"Hombre","Antofagasta","Calama",0,1,18,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy en desacuerdo",10,5,6,9,"Rechaza","Nulo o Blanco"
"Hombre","Coquimbo","La Serena",37,5,22,"De acuerdo","De acuerdo","Neutral","De acuerdo",4,8,4,4,"Aprueba","CC"
"Mujer","Los Lagos","Castro",25,2,17,"Neutral","Muy de acuerdo","Muy en desacuerdo","De acuerdo",3,9,2,5,"Aprueba","CC"
"Hombre","Maule","Parral",26,3,18,"Neutral","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo",1,8,3,3,"Aprueba","CC"
"Hombre","Valparaiso","Viña del mar",37,3,18,"De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",3,8,2,7,"Aprueba","CM"
"Mujer","RM","Peñalolen",25,1,18,"Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",3,6,4,7,"Aprueba","CC"
"Trans/No binario","Biobio","Concepción ",20,3,13,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",1,4,3,3,"Aprueba","CC"
"Hombre","RM","Puente alto",21,1,14,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,1,1,1,"Aprueba","CC"
"Hombre","RM","ñuñoa",28,3,21,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",4,8,4,5,"Aprueba","CC"
"Hombre","Los Lagos","Fresia ",25,2,18,"De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo",1,8,3,5,"Aprueba","CC"
"Hombre","RM","Pintana",27,1,21,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,6,5,6,"Aprueba","CC"
"Hombre","RM","Santiago",26,4,19,"En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo",7,4,4,10,"Aprueba","CC"
"Hombre","RM","Pudahuel",16,3,11,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",4,7,4,3,"Aprueba","CC"
